,Arsenal scored,Arsenal received,Leicester scored,Leicester received,Chelsea scored,Chelsea received,Newcastle scored,Newcastle received,Wolves scored,Wolves received,Liverpool scored,Liverpool received,Crystal Palace scored,Crystal Palace received,Everton scored,Everton received,Aston Villa scored,Aston Villa received,Burnley scored,Burnley received,Man City scored,Man City received,Man United scored,Man United received,Leeds scored,Leeds received,Southampton scored,Southampton received,Tottenham scored,Tottenham received,Brighton scored,Brighton received,Sheffield United scored,Sheffield United received,West Ham scored,West Ham received,Fulham scored,Fulham received,West Brom scored,West Brom received
27,5,1,7,2,3,3,2,3,3,3,6,3,4,1,6,2,1,0,2,4,3,1,1,3,7,7,2,6,5,3,4,3,0,3,1,4,3,7,2,8
28,5,1,7,2,3,3,2,3,3,3,6,3,4,1,6,2,1,0,2,4,3,1,1,3,7,7,2,6,5,3,4,3,0,3,1,4,3,7,2,8
29,5,1,7,2,3,3,2,3,3,3,6,3,4,1,6,2,1,0,2,4,3,1,1,3,7,7,2,6,5,3,4,3,0,3,1,4,3,7,2,8
30,5,1,7,2,3,3,2,3,3,3,6,3,4,1,6,2,1,0,2,4,3,1,1,3,7,7,2,6,5,3,4,3,0,3,1,4,3,7,2,8
31,5,1,7,2,3,3,2,3,3,3,6,3,4,1,6,2,1,0,2,4,3,1,1,3,7,7,2,6,5,3,4,3,0,3,1,4,3,7,2,8
32,5,1,7,2,3,3,2,3,3,3,6,3,4,1,6,2,1,0,2,4,3,1,1,3,7,7,2,6,5,3,4,3,0,3,1,4,3,7,2,8
33,5,1,7,2,3,3,2,3,3,3,6,3,4,1,6,2,1,0,2,4,3,1,1,3,7,7,2,6,5,3,4,3,0,3,1,4,3,7,2,8
34,5,1,7,2,3,3,2,3,3,3,6,3,4,1,6,2,1,0,2,4,3,1,1,3,7,7,2,6,5,3,4,3,0,3,1,4,3,7,2,8
35,5,1,7,2,3,3,2,3,3,3,6,3,4,1,6,2,1,0,2,4,3,1,1,3,7,7,2,6,5,3,4,3,0,3,1,4,3,7,2,8
36,5,1,7,2,3,3,2,3,3,3,6,3,4,1,6,2,1,0,2,4,3,1,1,3,7,7,2,6,5,3,4,3,0,3,1,4,3,7,2,8
37,5,1,7,2,3,3,2,3,3,3,6,3,4,1,6,2,1,0,2,4,3,1,1,3,7,7,2,6,5,3,4,3,0,3,1,4,3,7,2,8
